representation,horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
base,5,momentum__rsi_long_velocity,-0.00807633473251681,0.1422734237579626,-0.056766292109876944,2551,510.2,-1.282214709607934,0.2003507743475143
base,5,volatility__vol20,-0.011490856841026648,0.20790807521659843,-0.05526892992999664,2551,510.2,-1.2483928808202283,0.21246090407370105
base,5,volatility__vol100,-0.012188834791661224,0.22133850272738465,-0.055068750540315216,2551,510.2,-1.243871307392233,0.21411923993267862
base,5,volume__obv_zvel12_26,-0.006548475322699154,0.12063511808688462,-0.054283325009743574,2551,510.2,-1.2261304240058166,0.22071632080369147
base,5,momentum__willr_short_velocity,-0.007575923586935879,0.1404998019675327,-0.0539212403209405,2551,510.2,-1.2179517972741554,0.22380634723145829
base,5,volatility__atr_norm,-0.011566531847024768,0.22014570896773245,-0.052540346578911136,2551,510.2,-1.1867607118143477,0.23587540028267467
base,5,volume__price_zvel12_26,-0.007560006418327356,0.14556556337211507,-0.05193540452285002,2551,510.2,-1.1730965182601756,0.24130555974062012
base,5,momentum__mfi_long_velocity,-0.006369892314942398,0.12442058384015371,-0.05119645092749252,2551,510.2,-1.1564053246932067,0.24805765196235055
base,5,momentum__rsi_short_raw,-0.00772437168859032,0.15146191241824486,-0.05099877299357178,2551,510.2,-1.1519402531654157,0.24988617610172492
base,5,trend__acceleration_12/26,-0.008265809738341057,0.16230382195429935,-0.05092800427502256,2551,510.2,-1.1503417571472456,0.25054307788638924
base,5,volatility__bb_bandwidth,-0.008180582150489172,0.17864540821695696,-0.04579228893783946,2551,510.2,-1.034338236308697,0.30146904341529746
base,5,momentum__cci_short_velocity,-0.00648184157973812,0.14160410793461461,-0.045774389417650906,2551,510.2,-1.0339339289772218,0.30165784298804105
base,5,momentum__cmf_short_velocity,-0.005305539171567845,0.11992824238234688,-0.04423928064127792,2551,510.2,-0.9992594948939854,0.3181436143593038
base,5,volatility__vol7,-0.007977998413380732,0.18720678064219407,-0.04261596928280594,2551,510.2,-0.9625927755303605,0.336208812009801
base,5,momentum__mfi_short_velocity,-0.004386884370211254,0.12877132324005836,-0.034067246183633035,2551,510.2,-0.7694975759195084,0.4419547821356991
base,5,candle__skew_log,0.004189136899232133,0.12398583772444538,0.03378722099327471,2551,510.2,0.763172476907524,0.44571396221694126
base,5,trend__rel_104,-0.006153654770133094,0.18232392371589554,-0.033751219503820935,2551,510.2,-0.7623592894043474,0.4461985839148119
base,5,trend__velocity_52/104,0.006098358115632563,0.1981686641812796,0.030773574322799806,2551,510.2,0.6951014096099725,0.4873088180007756
base,5,momentum__cci_long_velocity,-0.004213383314658168,0.14291837563746712,-0.029481046757388402,2551,510.2,-0.665906304639291,0.5057725374057886
base,5,momentum__willr_short_acceleration,-0.0037378738466516803,0.13344223409671302,-0.028011175561873724,2551,510.2,-0.632705431408573,0.5272100372058698
base,5,momentum__cci_short_acceleration,-0.0037432834117021967,0.13662598348650531,-0.027398034518609154,2551,510.2,-0.618856042351834,0.536287947822438
base,5,trend__velocity_26/52,-0.00462902031922703,0.17905422406446828,-0.02585261723599638,2551,510.2,-0.583948763778611,0.5595133694167094
base,5,momentum__rsi_short_velocity,-0.0030489647384177665,0.1408935045522438,-0.021640207957828173,2551,510.2,-0.48880051754647014,0.6251933848701324
base,5,momentum__cmf_short_acceleration,-0.002133685905586271,0.11571486242917506,-0.018439169012469978,2551,510.2,-0.4164967071474815,0.6772220789370115
base,5,candle__gap_log,-0.002795177232480015,0.16177803955166864,-0.017277853287295475,2551,510.2,-0.39026536368690223,0.6965035346449487
base,5,momentum__mfi_long_acceleration,-0.0018263737808218404,0.12315829360775749,-0.014829482670802455,2551,510.2,-0.33496252986850367,0.7377912918202167
base,5,momentum__rsi_long_acceleration,-0.0018126362820124456,0.1381143055932884,-0.013124174749502051,2551,510.2,-0.29644370435018413,0.7670121228338458
base,5,momentum__mfi_short_acceleration,-0.0016028066682190357,0.12377621432355823,-0.012949230003344631,2551,510.2,-0.29249212113848727,0.7700295250745655
base,5,momentum__rsi_short_acceleration,0.001715172207681199,0.1356532625756613,0.01264379621333879,2551,510.2,0.2855931026576123,0.7753059226912093
