ticker,shift,sector,cap_bucket,market_cap
LKFN,0,Financial Services,small,1560000000.0
LLY,0,Healthcare,large,1080000000000.0001
LNC,0,Financial Services,mid,7020000000.0
LOB,0,Financial Services,small,1920000000.0
LOMA,0,Basic Materials,small,1350000000.0
LQDT,0,Consumer Cyclical,small,1220000000.0
LRCX,0,Technology,large,474080000000.0
LRN,4,Consumer Defensive,mid,3650000000.0
LSCC,0,Technology,large,19010000000.0
LULU,0,Consumer Cyclical,large,13350000000.0
LW,0,Consumer Defensive,mid,6240000000.0
LXFR,0,Industrials,small,496780000.0
LXP,0,Real Estate,mid,3280000000.0
LYTS,0,Technology,small,945600000.0
LYV,0,Communication Services,large,41760000000.0
MAA,0,Real Estate,large,16790000000.0
MAN,0,Industrials,small,1680000000.0
MAR,0,Consumer Cyclical,large,99490000000.0
MAS,0,Industrials,large,15870000000.0
MATW,0,Industrials,small,850270000.0
MCK,0,Healthcare,large,89390000000.0
MCRI,0,Consumer Cyclical,mid,2380000000.0
MDT,0,Healthcare,large,103660000000.0
MDU,0,Utilities,mid,4570000000.0
MDXG,0,Healthcare,small,585360000.0
MEDP,0,Healthcare,large,15050000000.0
META,0,Communication Services,large,1400000000000.0
METC,0,Basic Materials,small,820310000.0
MFA,0,Real Estate,small,996660000.0
MFIC,0,Financial Services,small,816310000.0
MGA,0,Consumer Cyclical,large,17760000000.0
MGM,0,Consumer Cyclical,large,12590000000.0
MGNI,0,Communication Services,mid,2680000000.0
MHK,0,Consumer Cyclical,mid,7300000000.0
MHO,0,Consumer Cyclical,mid,4170000000.0
MKC,-1,Consumer Defensive,large,13720000000.0
MKL,0,Financial Services,large,24030000000.0
MKSI,0,Technology,large,26250000000.0
MLKN,0,Consumer Cyclical,small,1360000000.0
MLM,0,Basic Materials,large,36990000000.0
MMM,0,Industrials,large,85540000000.0
MMSI,0,Healthcare,mid,4280000000.0000005
MOH,0,Healthcare,large,11970000000.0
MOS,0,Basic Materials,mid,7110000000.0
MRSH,0,Financial Services,large,81660000000.0
MRVL,0,Technology,large,233370000000.0
MSI,0,Technology,large,66879999999.99999
MSM,0,Industrials,mid,6600000000.0
MTDR,0,Energy,mid,6200000000.0
MTH,0,Consumer Cyclical,mid,5680000000.0
MTLS,0,Technology,small,413790000.0
MTUS,0,Basic Materials,small,829640000.0
MUR,0,Energy,mid,4960000000.0
MXL,0,Technology,mid,8650000000.0
MYGN,0,Healthcare,small,555360000.0
MYRG,0,Industrials,mid,7440000000.0
MZTI,0,Consumer Defensive,mid,3180000000.0
NAVI,0,Financial Services,small,817710000.0
NBTB,0,Financial Services,mid,2580000000.0
NC,0,Energy,small,389920000.0
NEOG,0,Healthcare,small,2089999999.9999998
NEU,0,Basic Materials,mid,7290000000.0
NEXA,0,Basic Materials,small,1700000000.0
NFBK,0,Financial Services,small,626040000.0
NFG,0,Energy,mid,7460000000.0
NGG,0,Utilities,large,81900000000.0
NHC,0,Healthcare,mid,3230000000.0
NHI,0,Real Estate,mid,3760000000.0
NI,0,Utilities,large,23530000000.0
NIC,0,Financial Services,mid,3470000000.0
NICE,0,Technology,mid,5080000000.0
NKTR,0,Healthcare,small,2150000000.0
NLY,0,Real Estate,large,16820000000.0
NMM,0,Industrials,small,2000000000.0
NMR,0,Financial Services,large,25740000000.0
NNN,0,Real Estate,mid,9030000000.0
NOA,0,Energy,small,367520000.0
NOAH,0,Financial Services,small,651490000.0
NOC,0,Industrials,large,71020000000.0
NODK,0,Financial Services,small,334460000.0
NOMD,0,Consumer Defensive,small,1550000000.0
NOV,0,Energy,mid,6700000000.0
NOVT,0,Technology,mid,5610000000.0
NOW,0,Technology,large,101420000000.0
NPKI,0,Industrials,small,1320000000.0
NPO,0,Industrials,mid,8010000000.0
NRC,0,Healthcare,small,468990000.0
NRG,0,Utilities,large,31510000000.0
NRIM,0,Financial Services,small,621960000.0
NSSC,0,Industrials,small,1330000000.0
NTCT,0,Technology,mid,2970000000.0
NTES,0,Communication Services,large,76600000000.0
NTGR,0,Technology,small,613020000.0
NTLA,0,Healthcare,small,2330000000.0
NTRA,0,Healthcare,large,37510000000.0
NVMI,0,Technology,large,15530000000.0
NVO,0,Healthcare,large,214870000000.0
NVR,0,Consumer Cyclical,large,18430000000.0
NVS,0,Healthcare,large,286020000000.0
NWN,0,Utilities,small,2140000000.0000002
NWPX,0,Basic Materials,small,1430000000.0
NWSA,0,Communication Services,large,13810000000.0
OC,0,Industrials,mid,10900000000.0
OCSL,0,Financial Services,small,1030000000.0
OFG,0,Financial Services,small,2069999999.9999998
OHI,0,Real Estate,large,14980000000.0
OII,0,Energy,mid,3990000000.0
OKTA,0,Technology,large,21600000000.0
OLP,0,Real Estate,small,533700000.00000006
OMAB,0,Industrials,mid,5420000000.0
OMF,0,Financial Services,mid,6980000000.0
ONB,0,Financial Services,mid,10000000000.0
ONC,0,Healthcare,large,31130000000.0
ONIT,0,Financial Services,small,312160000.0
OPCH,0,Healthcare,mid,3430000000.0
ORA,0,Utilities,mid,7140000000.0
ORC,0,Real Estate,small,1390000000.0
ORCL,0,Technology,large,427840000000.0
OSG,0,Financial Services,small,300240000.0
OSUR,0,Healthcare,small,307060000.0
OTEX,0,Technology,mid,5360000000.0
OTTR,0,Industrials,mid,3810000000.0
OVID,0,Healthcare,small,475930000.0
OXM,0,Consumer Cyclical,small,534980000.0
OXY,0,Energy,large,49720000000.0
P,0,Technology,large,22990000000.0
