i,j,c0,c_best,best_lag,gain
1,83,0.23287342680372897,0.23287342680372897,0,0.0
1,84,0.0736136800168992,0.0736136800168992,0,0.0
1,85,0.3046921702684993,0.3046921702684993,0,0.0
1,86,0.16803058859537837,0.16803058859537837,0,0.0
1,87,0.06582631979534749,0.06582631979534749,0,0.0
1,88,0.20994007589862737,0.20994007589862737,0,0.0
1,89,0.17734637360610722,0.17734637360610722,0,0.0
1,90,0.20589286385303318,0.20589286385303318,0,0.0
1,91,0.17950021176266964,0.17950021176266964,0,0.0
1,92,0.14896496867884218,0.14896496867884218,0,0.0
1,93,0.22147017465034527,0.22147017465034527,0,0.0
1,94,0.13921995343374421,0.13921995343374421,0,0.0
1,95,0.09832934373151876,0.09832934373151876,0,0.0
1,96,0.26491831400829524,0.26491831400829524,0,0.0
1,97,0.22082402722963038,0.22082402722963038,0,0.0
1,98,0.23758772494510677,0.23758772494510677,0,0.0
1,99,0.2551935952332543,0.2551935952332543,0,0.0
1,100,0.2583625502680395,0.2583625502680395,0,0.0
1,101,0.3003817195768825,0.3003817195768825,0,0.0
1,102,0.21364694469715012,0.21364694469715012,0,0.0
1,103,0.3287287138747914,0.3287287138747914,0,0.0
1,104,0.18540535488358081,0.18540535488358081,0,0.0
1,105,0.27869370805945587,0.27869370805945587,0,0.0
1,106,0.14478500040060843,0.14478500040060843,0,0.0
1,107,0.15071736714841633,0.15071736714841633,0,0.0
1,108,0.18390956188705757,0.18390956188705757,0,0.0
1,109,0.12616224801396925,0.12616224801396925,0,0.0
1,110,0.269607904051828,0.269607904051828,0,0.0
1,111,0.22514735298682395,0.22514735298682395,0,0.0
1,112,0.11872410288884751,0.11872410288884751,0,0.0
1,113,0.2504374970487794,0.2504374970487794,0,0.0
1,114,0.2726156682824141,0.2726156682824141,0,0.0
1,115,0.13238574505854403,0.13238574505854403,0,0.0
1,116,0.20395571569442067,0.20395571569442067,0,0.0
1,117,0.16714325419838771,0.16714325419838771,0,0.0
1,118,0.15333424887474123,0.15333424887474123,0,0.0
1,119,0.17209376559818904,0.17209376559818904,0,0.0
1,120,0.10300458842163804,0.10300458842163804,0,0.0
1,121,0.1392964049479658,0.1392964049479658,0,0.0
1,122,0.05737736709405349,0.05737736709405349,0,0.0
1,123,0.3117096072924651,0.3117096072924651,0,0.0
1,124,0.17943080615622709,0.17943080615622709,0,0.0
1,125,0.23311534584256452,0.23311534584256452,0,0.0
1,126,0.13165661432710885,0.13165661432710885,0,0.0
1,127,0.1628622511343989,0.1628622511343989,0,0.0
1,128,0.1485390820782636,0.1485390820782636,0,0.0
1,129,0.0831066805962466,0.0831066805962466,0,0.0
1,130,0.11215661339240815,0.11215661339240815,0,0.0
1,131,0.17271566201619748,0.17271566201619748,0,0.0
1,132,0.12648366825541973,0.12648366825541973,0,0.0
1,133,0.16315825214877144,0.16315825214877144,0,0.0
1,134,0.26955158990087014,0.26955158990087014,0,0.0
1,135,0.14655483403039676,0.14655483403039676,0,0.0
1,136,0.15146504334684754,0.15146504334684754,0,0.0
1,137,0.16276029411422765,0.16276029411422765,0,0.0
1,138,0.2509146381631757,0.2509146381631757,0,0.0
1,139,0.1696735431279066,0.1696735431279066,0,0.0
1,140,0.2900465519626901,0.2900465519626901,0,0.0
1,141,0.1614570219926749,0.1614570219926749,0,0.0
1,142,0.18608357226479533,0.18608357226479533,0,0.0
1,143,0.22206408077366735,0.22206408077366735,0,0.0
1,144,0.21572210346414042,0.21572210346414042,0,0.0
1,145,0.134736608553385,0.134736608553385,0,0.0
1,146,0.21045044863088816,0.21045044863088816,0,0.0
1,147,0.12441847312010072,0.12441847312010072,0,0.0
1,148,0.2735485953287091,0.2735485953287091,0,0.0
1,149,0.2044859132153102,0.2044859132153102,0,0.0
1,150,0.07891861037227665,0.07891861037227665,0,0.0
1,151,0.14524203540846092,0.14524203540846092,0,0.0
1,152,0.11167031954563546,0.11167031954563546,0,0.0
1,153,0.2517439310370579,0.2517439310370579,0,0.0
1,154,0.1393007580411581,0.1393007580411581,0,0.0
1,155,0.18831535997108031,0.18831535997108031,0,0.0
1,156,0.08917876817650207,0.08917876817650207,0,0.0
1,157,0.2848489363166299,0.2848489363166299,0,0.0
1,158,0.20609099107397671,0.20609099107397671,0,0.0
1,159,0.08738456152420292,0.08738456152420292,0,0.0
1,160,0.1556565608991852,0.1556565608991852,0,0.0
1,161,0.15181628657277263,0.15181628657277263,0,0.0
1,162,0.26280489579137667,0.26280489579137667,0,0.0
1,163,0.1426359597157898,0.1426359597157898,0,0.0
1,164,0.13209936200568967,0.13209936200568967,0,0.0
1,165,0.0951311034041712,0.0951311034041712,0,0.0
1,166,0.18429052844854713,0.18429052844854713,0,0.0
1,167,0.0854148303897116,0.0854148303897116,0,0.0
1,168,0.16398499209445458,0.16398499209445458,0,0.0
1,169,0.15170842655961936,0.15170842655961936,0,0.0
1,170,0.25777605000346465,0.25777605000346465,0,0.0
1,171,0.14957020359462936,0.14957020359462936,0,0.0
1,172,0.2759279621195775,0.2759279621195775,0,0.0
1,173,0.28509370353364816,0.28509370353364816,0,0.0
1,174,0.19173650905588113,0.19173650905588113,0,0.0
1,175,0.2771518632098966,0.2771518632098966,0,0.0
1,176,0.08820266684213976,0.08820266684213976,0,0.0
1,177,0.21998900423570128,0.21998900423570128,0,0.0
1,178,0.20031147336070704,0.20031147336070704,0,0.0
1,179,0.3846708333781557,0.3846708333781557,0,0.0
1,180,0.2832679743707337,0.2832679743707337,0,0.0
1,181,0.1399046003373428,0.1399046003373428,0,0.0
1,182,0.08750878785638545,0.08750878785638545,0,0.0
1,183,0.08676382734276401,0.08676382734276401,0,0.0
1,184,0.16287463191797844,0.16287463191797844,0,0.0
1,185,0.28950249264332084,0.28950249264332084,0,0.0
1,186,0.24150774474772913,0.24150774474772913,0,0.0
1,187,0.18425076806309496,0.18425076806309496,0,0.0
1,188,0.09005404952618702,0.09005404952618702,0,0.0
1,189,0.2068619360251693,0.2068619360251693,0,0.0
1,190,0.28362987143129015,0.28362987143129015,0,0.0
1,191,0.2574280844321943,0.2574280844321943,0,0.0
1,192,0.26907599894402423,0.26907599894402423,0,0.0
1,193,0.2909971878371421,0.2909971878371421,0,0.0
1,194,0.22373487945693768,0.22373487945693768,0,0.0
1,195,0.24891333338228738,0.24891333338228738,0,0.0
1,196,0.2615111958229371,0.2615111958229371,0,0.0
1,197,0.27873726381761543,0.27873726381761543,0,0.0
1,198,0.18384952872776414,0.18384952872776414,0,0.0
1,199,0.20603325046815119,0.20603325046815119,0,0.0
2,3,0.22502713151035897,0.22502713151035897,0,0.0
2,4,0.253836841529009,0.253836841529009,0,0.0
2,5,0.45106156579267126,0.45106156579267126,0,0.0
2,6,0.3548110071769321,0.3548110071769321,0,0.0
2,7,0.23070929956970232,0.23070929956970232,0,0.0
2,8,0.3541675736236357,0.3541675736236357,0,0.0
2,9,0.38493192456464864,0.38493192456464864,0,0.0
2,10,0.17634077840516474,0.17634077840516474,0,0.0
2,11,0.2283021993230064,0.2283021993230064,0,0.0
2,12,0.11137020147658576,0.11137020147658576,0,0.0
2,13,0.3464625317762889,0.3464625317762889,0,0.0
2,14,0.26638379678408786,0.26638379678408786,0,0.0
2,15,0.33858384091739363,0.33858384091739363,0,0.0
2,16,0.3634889230481022,0.3634889230481022,0,0.0
2,17,0.3091981383353776,0.3091981383353776,0,0.0
2,18,0.12453854815508664,0.12453854815508664,0,0.0
2,19,0.19259997179305807,0.19259997179305807,0,0.0
2,20,0.316040357079497,0.316040357079497,0,0.0
2,21,0.2571220018807304,0.2571220018807304,0,0.0
2,22,0.2198222132160264,0.2198222132160264,0,0.0
2,23,0.15531321517264096,0.15531321517264096,0,0.0
